num_images: 4723695
min_concept_probability: ---
class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,8747c,827,38.67121908948002,-109.49742631801699
1,365,589,36.14504555687608,102.98971323599338
2,89c6c74,235,39.98461821276593,-75.21640030212768
3,884054,284,39.27413253169013,-84.37556844366195
4,33ab4,500,9.256403082000002,123.29880271600005
5,47aa4,730,53.59776405068485,14.341415599999998
6,80858065,702,37.79262657122506,-122.39274704273514
7,89c804f,253,39.3166769328063,-76.6139893596838
8,0fd,952,6.115668577731076,-1.1909874821428559
9,477eb1d1,852,45.43290527112677,12.332145805164286
10,47f4ebb,854,45.75999511241218,4.8240463899297366
11,80c8c5cd,758,36.100914630606866,-115.17347992876016
12,4796c8c,377,48.592959620689676,7.771569623342173
13,48760348c,855,51.50583480935677,-0.07522896374269002
14,478e39d,735,46.94679267755097,7.449854953741483
15,880fd1c,857,41.99137643523917,-87.67090105367588
16,60004,379,35.07236489973607,135.30530672295504
17,3397c94,784,14.553054933673492,121.01437408801044
18,0d422863,425,40.42547586352936,-3.705240404705877
19,4bc,152,50.890105717105236,-55.746262171052635
20,0d1ec4,799,38.7070719236546,-9.423817224030048
21,47b93,818,51.33446771393647,7.335007812958435
22,48457,259,51.79359838996138,-9.690340667953668
23,89c2f61,961,40.80032189490115,-73.95065060770033
24,12979244,344,39.567759133720976,2.6462671686046515
25,548724,866,50.097700011547374,-122.93597055542722
26,808f7e34,792,37.76137516919194,-122.4082476426765
27,8f5d,849,17.51143758421673,-88.19096968080083
28,8819adc,967,42.964065641158264,-85.66831232885221
29,47d8f,904,51.78550197677,0.5335194944690266
30,865ac,325,30.854356956923063,-98.19589416923078
31,4841,300,49.934510743333384,-6.321294433333336
32,47833,291,46.78041203436429,10.532229879725076
33,4743,780,46.35334320256411,18.908942712820522
34,54eb4,337,45.486376884272985,-123.92335204747762
35,549055,880,47.25498269431822,-122.44819520454513
36,808fbb34,375,37.44474425866656,-122.16657458933375
37,94ce574,840,-23.58187612380951,-46.68458063333336
38,47c4b,594,51.41183284848491,3.330281363636366
39,89007,834,33.741103354916035,-78.8455488513188
40,47e63,320,49.12167643124997,2.5902593749999996
41,47817,994,45.582102304828936,10.120768385311882
42,3e5f5c,948,25.274276520042203,55.34525260126577
43,12a4a274,848,41.36765971344344,2.15164157311321
44,54906acb,294,47.614012336734724,-122.32595326870747
45,40ec,723,45.01270583679112,34.939959195020776
46,477e9,336,45.17954727380955,12.259441889880959
47,6ad6683,286,-37.84948115034964,144.9942173811188
48,478fa4,855,46.638733844444474,7.878763142690048
49,8085871,558,37.77999480286737,-122.48061222759861
50,4758c,891,43.850318924803545,18.415943332211004
51,80e914c,458,34.43473381877729,-119.71559105021826
52,4741df,363,47.50750724793393,18.997002972451796
53,46597,914,58.39769865645525,15.561502739606114
54,808f7e04,489,37.7600913885481,-122.4409411574643
55,89c259994,332,40.73236081024094,-73.99008672289163
56,487669,183,51.63724906557379,-0.5151763934426229
57,0d19331,501,38.74234432335329,-9.156290145708569
58,89e3bc,415,42.65971628433733,-71.48359434216891
59,4799b,492,48.763460296748065,9.677394676829243
