num_images: 4723695
min_concept_probability: ---
class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,8744,3376,39.28162046949048,-107.94343695171831
1,364,2728,35.9593396631232,108.13288446407641
2,89c6c74,235,39.98461821276593,-75.21640030212768
3,88404,1809,39.39666210779442,-84.51914537810939
4,33ac,2937,10.074130299965942,123.51059847327231
5,89c244,3024,40.58557048148143,-73.97131270965583
6,47ab,3135,54.038759201276115,13.716050198724078
7,80858064,3516,37.79360935693973,-122.39572840671183
8,89c805,2687,39.309458538518804,-76.61417953814674
9,0f,4952,11.614377453150261,-9.831330920436127
10,477eb1d4,3946,45.43319048783598,12.336990364926425
11,47f4f,4502,45.7582627274545,4.827790450022204
12,80c8c5c,2079,36.09471004040413,-115.17145794131773
13,4796c,3111,48.633331143040884,7.74913773095465
14,4876034c,3683,51.507765811023624,-0.07717788188976363
15,478e4,3980,46.92263614623133,7.320369801758823
16,880fd1,1645,42.0081635094226,-87.67140299088128
17,60004,379,35.07236489973607,135.30530672295504
18,3397d,3590,14.545661403064106,121.02196628050146
19,0d422864,1187,40.42597664953669,-3.7081663445661275
20,4bc,152,50.890105717105236,-55.746262171052635
21,0d1ec,4935,38.73209890638289,-9.316179351570412
22,47b94,3605,51.46305388959776,7.520416652149802
23,4844,4813,51.82924318699355,-8.474162264284274
24,89c2f7,3796,40.812628479715414,-73.95789715358292
25,1297c,4416,39.63675289696567,2.7339698772645034
26,54874,1821,50.097021395387166,-122.9834145573863
27,808f7e34,792,37.76137516919194,-122.4082476426765
28,8f5c,2008,17.499235736553747,-88.80277318824719
29,8819,4406,42.96593655810268,-85.81595212823399
30,47d8f,904,51.78550197677,0.5335194944690266
31,865b,4051,30.32927407800544,-98.11059146136776
32,47834,1406,46.623652404694184,10.214545615931721
33,4743,780,46.35334320256411,18.908942712820522
34,54f,1433,45.08582330914165,-123.94909258478698
35,549054,1277,47.2733714737667,-122.45579747454967
36,808fbc,4982,37.444326154556464,-122.1302574000405
37,94ce54,3633,-23.57806987806219,-46.69964250261486
38,47c4c,2180,51.5018415183485,3.5780033449541393
39,894,4864,28.091192097039496,-77.60596821648815
40,47e63,320,49.12167643124997,2.5902593749999996
41,47814,2348,45.58058820144786,9.85258407325383
42,3e5c,4815,25.07542181744548,55.131186855243904
43,12a4a27,2680,41.37057335261215,2.153263426865673
44,54906ad,2167,47.61338329626208,-122.31702273327217
45,40f,1932,45.3541866630434,37.62616026449278
46,87df,1990,38.87670483819093,-90.4085311969848
